L	N	Va	alpha	genlen	r	gen	kvar	zbar	ac_var	ac_cov	neut_ssh	sel_ssh	sel_het	neut_het	neut_ssh_delta	neut_ssh0	sel_ssh0	zvar0	var_type	variance	cov
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	17	2.0492292292292293	0.13682459537709057	0.004895728145354989	-1.3717823480135857e-4	65.670151685	59.833817595	0.11966763519	0.11873750462870881	0.9965544743815221	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009536724193649706	8.865272909610775e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	18	2.044944944944945	0.14599620654172474	0.004878324238990003	-1.4316621689035446e-4	65.443883495	59.62111335	0.11924222670000001	0.11832839151463646	0.9963588836377933	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009479943501501834	8.735190680450399e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	19	2.0442442442442443	0.15547181580628824	0.004860251706215226	-1.6765872089991593e-4	65.2055947	59.400237395	0.11880047479	0.11789754407217892	0.995924016700978	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009469077919506309	8.650092448428966e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	20	2.0401001001001	0.1647952341836343	0.004840472918121722	-1.8583663848401082e-4	64.939817785	59.158508205	0.11831701640999999	0.11741699565154501	0.9965983889001452	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009357092721353518	8.475606009397819e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	21	2.0373973973973976	0.1744339051130737	0.0048218957766395865	-1.9238134545294e-4	64.71891778	58.931465105	0.11786293021000001	0.11701758869582511	0.9955650136027352	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009296182320230153	8.350632074245054e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	22	2.021841841841842	0.18378916847438373	0.004803325881321943	-2.357704685768699e-4	64.43189026	58.704510565	0.11740902113	0.1164986172817184	0.9956161928687763	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009207645754727723	8.203783322804681e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	23	2.025925925925926	0.19271497217243636	0.004781289656067421	-2.8706557936493453e-4	64.14943328	58.435191795	0.11687038359	0.11598790981250111	0.9956308431630778	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009103875930570831	8.04649370320837e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	24	2.045925925925926	0.20213546019969672	0.004759417669434982	-3.201899164557822e-4	63.869154345	58.16788029	0.11633576058	0.11548114044334351	0.9955285143833699	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.008988229956244626	7.881905027503119e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	25	2.0334334334334336	0.2113297081601607	0.004737710047430645	-3.475326914138437e-4	63.58356434	57.90257759	0.11580515518	0.11496476818485905	0.9955471042251419	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.008922461132433467	7.76387180712258e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	26	2.032232232232232	0.22019617020134868	0.004715649418737098	-3.877051467146592e-4	63.300433355	57.63296057	0.11526592114	0.11445284205435116	0.9946271202743174	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.008772043944653894	7.575116225829976e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	27	2.0363563563563565	0.22880915128584337	0.004689895054011121	-4.137567936030033e-4	62.96032774	57.318200045	0.11463640008999999	0.11383790069973058	0.9943499476135351	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.00859929647328186	7.370595818274138e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	28	2.034034034034034	0.23697412843931046	0.004662935032573033	-4.168665125875056e-4	62.60459859	56.98870442	0.11397740883999999	0.11319471059721192	0.9939471949579669	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.008504574603026498	7.235992166490189e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	29	2.026666666666667	0.24581718633565744	0.004636712724846583	-4.5102035733551806e-4	62.22566516	56.668224865	0.11333644973	0.11250956508217765	0.994866497864207	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.008479276798813919	7.162474988353568e-5
