N	rho	t0	t1	var	Ne	group
500	100	25	25	0.0010521700154676778	475.6840559441657	A
500	100	26	26	9.777319836134864e-4	511.8994866576408	A
500	100	27	27	0.0010071708347566793	496.9370470516211	A
500	100	28	28	0.0010458777047277295	478.5459124313148	A
500	100	29	29	9.904122165174454e-4	505.3456451298574	A
500	100	30	30	0.0010107995277965523	495.1530810382791	A
500	100	31	31	9.431493507521866e-4	530.6694004521532	A
500	100	32	32	0.0010131035481797707	494.0269939827404	A
500	100	33	33	9.990779890113317e-4	500.9623933320622	A
500	100	34	34	9.480705223774154e-4	527.9148425007747	A
500	100	35	35	0.0010040073955756151	498.5028025750296	A
500	100	36	36	9.736908678809581e-4	514.0240265267548	A
500	100	37	37	0.0010085590121173382	496.25306450810933	A
500	100	38	38	0.0010327009106716784	484.65194068142176	A
500	100	39	39	9.95982648152926e-4	502.5192973278107	A
500	100	40	40	0.0010234453741762419	489.03489441568587	A
500	100	41	41	0.001021969190373678	489.741281062979	A
500	100	42	42	0.0010351029505719785	483.52726675538247	A
500	100	43	43	9.942065254939243e-4	503.41703425437754	A
500	100	44	44	9.203315682846272e-4	543.8262879902787	A
500	100	45	45	9.662983564147753e-4	517.9564853628551	A
500	100	46	46	0.0010277408363939461	486.9909638470883	A
500	100	47	47	0.001050849559230743	476.2817818250631	A
500	100	48	48	0.0010728403452016616	466.51908901358615	A
500	100	49	49	0.0010207475742355719	490.3273964430634	A
500	2e3	1	1	0.0010404682572325425	481.0338970183881	A
500	2e3	2	2	0.0010245339272106485	488.51530164856655	A
500	2e3	3	3	0.0010337339082863786	484.16763394187245	A
500	2e3	4	4	0.0010492530573495153	477.0064733142631	A
500	2e3	5	5	0.0010307150017571224	485.5857338325987	A
500	2e3	6	6	0.0010039100890203733	498.5511212352636	A
500	2e3	7	7	0.0010173329134359726	491.97317209574413	A
500	2e3	8	8	0.0010161550103427184	492.5434558765761	A
500	2e3	9	9	0.0010158316738035176	492.70023115789104	A
500	2e3	10	10	0.0010165486320002192	492.3527362539332	A
500	2e3	11	11	9.942770447604677e-4	503.3813293165956	A
500	2e3	12	12	0.001038542418748441	481.925910261479	A
500	2e3	13	13	0.0010210812375942605	490.1671699302937	A
500	2e3	14	14	0.0010050301489920733	497.99550889338343	A
500	2e3	15	15	0.0010042915180416667	498.3617719648364	A
500	2e3	16	16	0.0010176466839865467	491.8214822258657	A
500	2e3	17	17	0.0010156272958355447	492.79937882010603	A
500	2e3	18	18	0.0010049955027074445	498.0126768250791	A
500	2e3	19	19	0.0010329899674056564	484.51632280369796	A
500	2e3	20	20	0.0010185137609632167	491.4027867695898	A
500	2e3	21	21	0.0010201853186657247	490.59763098246975	A
500	2e3	22	22	9.960657143974632e-4	502.477390061821	A
500	2e3	23	23	0.0010292639587625753	486.2703063092032	A
500	2e3	24	24	0.0010119881035478432	494.5715258369523	A
500	2e3	25	25	9.701944316917224e-4	515.8764925374604	A
500	2e3	26	26	0.0010092026887530518	495.9365507823881	A
500	2e3	27	27	9.976761092406541e-4	501.6663182216909	A
500	2e3	28	28	0.0010143975763381341	493.39678265720363	A
500	2e3	29	29	9.906647659000008e-4	505.21681776559905	A
500	2e3	30	30	0.0010009591222818511	500.0209192954126	A
500	2e3	31	31	0.0010062987612738906	497.3677000922753	A
500	2e3	32	32	9.90361293032859e-4	505.3716295472126	A
500	2e3	33	33	0.0010045003257940469	498.25817637725515	A
500	2e3	34	34	9.91427571944549e-4	504.8281030946492	A
500	2e3	35	35	0.0010055337732956108	497.74608649903735	A
500	2e3	36	36	9.876241562523965e-4	506.77223449017475	A
500	2e3	37	37	0.0010169061628274873	492.1796315098227	A
500	2e3	38	38	0.0010109434308709885	495.08259831046064	A
500	2e3	39	39	0.0010220937985283448	489.6815744515259	A
500	2e3	40	40	0.0010146579563391437	493.27016791578876	A
500	2e3	41	41	0.001045070929402033	478.9153409777421	A
500	2e3	42	42	0.0010028559844653922	499.07514962610503	A
500	2e3	43	43	0.001009963359099978	495.56302809491825	A
500	2e3	44	44	9.917278542820825e-4	504.6752476896151	A
500	2e3	45	45	0.0010209084465311884	490.2501318321793	A
500	2e3	46	46	9.877994100327878e-4	506.6823237765322	A
500	2e3	47	47	0.0010061524141446242	497.44004334174235	A
500	2e3	48	48	9.917548129034978e-4	504.6615292294038	A
500	2e3	49	49	0.0010091427100107802	495.9660269409804	A
1e3	0	1	1	5.502708744684829e-4	909.0979520690285	A
1e3	0	2	2	4.6681953334439907e-4	1071.6135237071765	A
1e3	0	3	3	5.167778964915027e-4	968.0176502493983	A
1e3	0	4	4	5.099461748497135e-4	980.9861309577627	A
1e3	0	5	5	5.11346117010928e-4	978.3004278721066	A
1e3	0	6	6	5.077637232823581e-4	985.2025698660465	A
1e3	0	7	7	4.4861493346789213e-4	1115.0991367930794	A
1e3	0	8	8	4.927331302440666e-4	1015.2557121838777	A
1e3	0	9	9	4.765735620365064e-4	1049.6808151187604	A
1e3	0	10	10	5.791966562676118e-4	863.696500401404	A
1e3	0	11	11	4.5948582671388543e-4	1088.7172051424973	A
1e3	0	12	12	4.0971913530155876e-4	1220.9586567011092	A
1e3	0	13	13	4.804300348878573e-4	1041.254894022811	A
1e3	0	14	14	5.805711002496007e-4	861.6517853669643	A
1e3	0	15	15	4.8180909918137875e-4	1038.2745488046714	A
1e3	0	16	16	4.941640331769479e-4	1012.3159345419299	A
1e3	0	17	17	4.8773837779178395e-4	1025.65257900638	A
1e3	0	18	18	4.7243486668712467e-4	1058.8763877028314	A
1e3	0	19	19	5.138978968508512e-4	973.4426393414858	A
1e3	0	20	20	5.029685633598127e-4	994.5952123148168	A
1e3	0	21	21	5.883487649609157e-4	850.2611968527938	A
1e3	0	22	22	5.164353179576092e-4	968.6597869427542	A
1e3	0	23	23	4.513598924537292e-4	1108.3176272996254	A
1e3	0	24	24	5.444058196747326e-4	918.8919496882249	A
1e3	0	25	25	6.013139525844907e-4	831.9283510925036	A
1e3	0	26	26	4.7152702894646964e-4	1060.9150575741915	A
1e3	0	27	27	5.620787044685169e-4	890.0001389228067	A
1e3	0	28	28	5.921751145578068e-4	844.7672196358362	A
1e3	0	29	29	6.105827271774462e-4	819.2995032385671	A
1e3	0	30	30	5.433759061350884e-4	920.6336155401124	A
1e3	0	31	31	4.920595175105873e-4	1016.6455627022144	A
1e3	0	32	32	4.963438976182429e-4	1007.8700019543563	A
1e3	0	33	33	4.646910305540022e-4	1076.522016071917	A
1e3	0	34	34	4.738592424925983e-4	1055.6935060105855	A
1e3	0	35	35	4.6875396144460305e-4	1067.1912478795134	A
1e3	0	36	36	5.490904545646593e-4	911.0523064167076	A
1e3	0	37	37	4.912126777525287e-4	1018.3982370963063	A
1e3	0	38	38	4.980184595926287e-4	1004.4810898610625	A
1e3	0	39	39	4.6788880696870677e-4	1069.1645485248569	A
1e3	0	40	40	4.717571192287694e-4	1060.397617062658	A
1e3	0	41	41	4.950040812667331e-4	1010.5979808941642	A
1e3	0	42	42	5.119468183075551e-4	977.1525228270938	A
1e3	0	43	43	5.297462202622813e-4	944.3203291093869	A
1e3	0	44	44	4.881473881041283e-4	1024.7932023264689	A
1e3	0	45	45	4.172485111689093e-4	1198.9260876236451	A
1e3	0	46	46	4.613233018558692e-4	1084.3807868582885	A
1e3	0	47	47	4.8767492014567304e-4	1025.786039833875	A
1e3	0	48	48	5.368987567294061e-4	931.740144286932	A
1e3	0	49	49	5.858971420674217e-4	853.8190223924413	A
1e3	100	1	1	5.298381724226259e-4	944.1564445521042	A
1e3	100	2	2	5.214809006097897e-4	959.287529950891	A
1e3	100	3	3	5.194297850729666e-4	963.075548300063	A
1e3	100	4	4	5.036954793048083e-4	993.1598468045967	A
1e3	100	5	5	5.238514669853206e-4	954.9465002768605	A
1e3	100	6	6	5.184178013239299e-4	964.955531590539	A
1e3	100	7	7	4.7685860578808374e-4	1049.0533650657082	A
1e3	100	8	8	5.202431331419687e-4	961.5698760718066	A
1e3	100	9	9	4.967485252175828e-4	1007.0490392365325	A
1e3	100	10	10	5.154504529675789e-4	970.510593564259	A
1e3	100	11	11	4.968924425310822e-4	1006.7573628496857	A
1e3	100	12	12	5.138278131287344e-4	973.5754123866367	A
1e3	100	13	13	5.141811618304089e-4	972.9063649117652	A
1e3	100	14	14	0.00049269800648396925	1015.328088360771	A
1e3	100	15	15	4.859584420753292e-4	1029.409269908283	A
1e3	100	16	16	4.96413838098679e-4	1007.7280016579425	A
1e3	100	17	17	5.173766248924074e-4	966.8974224851427	A
1e3	100	18	18	5.05813118126524e-4	989.0018806064235	A
1e3	100	19	19	4.6812709371954567e-4	1068.6203207931187	A
1e3	100	20	20	5.275387804433624e-4	948.2717548122305	A
1e3	100	21	21	5.21798636535832e-4	958.7033963592563	A
1e3	100	22	22	4.8792870912758477e-4	1025.2524922277623	A
1e3	100	23	23	4.656747478048369e-4	1074.2479110595552	A
1e3	100	24	24	5.105663937963364e-4	979.7944618777233	A
1e3	100	25	25	5.273906065789179e-4	948.5381780072994	A
1e3	100	26	26	5.038246923069007e-4	992.9051368482909	A
1e3	100	27	27	4.799196220481262e-4	1042.36230835414	A
1e3	100	28	28	4.919475151716879e-4	1016.877023736863	A
