N	alpha	rec_frac	t0	t1	cov	gen
1000	0.1	1e-4	5	86	-5.258562010586115e-5	86
1000	0.1	1e-4	5	87	1.2989022008748818e-5	87
1000	0.1	1e-4	5	88	1.620641501664948e-5	88
1000	0.1	1e-4	5	89	4.032779345021491e-5	89
1000	0.1	1e-4	5	90	5.528005360554426e-6	90
1000	0.1	1e-4	5	91	-1.0414778335639964e-4	91
1000	0.1	1e-4	5	92	-3.8034516122149273e-6	92
1000	0.1	1e-4	5	93	-2.1225664310338554e-5	93
1000	0.1	1e-4	5	94	3.5130852931854543e-5	94
1000	0.1	1e-4	5	95	4.553391888066088e-6	95
1000	0.1	1e-4	5	96	3.318539811418423e-5	96
1000	0.1	1e-4	5	97	-6.77849404917295e-5	97
1000	0.1	1e-4	5	98	-2.5867386851390523e-5	98
1000	0.1	1e-4	5	99	4.14273009312255e-5	99
1000	0.1	5e-4	5	6	1.087897147447848e-4	6
1000	0.1	5e-4	5	7	8.763347322285629e-5	7
1000	0.1	5e-4	5	8	9.061653031894249e-5	8
1000	0.1	5e-4	5	9	1.07314381009435e-4	9
1000	0.1	5e-4	5	10	1.4715939784285616e-4	10
1000	0.1	5e-4	5	11	1.3677949800407536e-4	11
1000	0.1	5e-4	5	12	8.310602191933297e-5	12
1000	0.1	5e-4	5	13	2.0134463346552293e-4	13
1000	0.1	5e-4	5	14	1.3901718417106264e-4	14
1000	0.1	5e-4	5	15	8.463939342345515e-5	15
1000	0.1	5e-4	5	16	9.484932883756e-5	16
1000	0.1	5e-4	5	17	1.2384862158992607e-4	17
1000	0.1	5e-4	5	18	1.1589073375509204e-4	18
1000	0.1	5e-4	5	19	9.254179695226146e-5	19
1000	0.1	5e-4	5	20	1.285290876896138e-4	20
1000	0.1	5e-4	5	21	1.0315759682265463e-4	21
1000	0.1	5e-4	5	22	1.389148573354624e-4	22
1000	0.1	5e-4	5	23	9.313469964239825e-5	23
1000	0.1	5e-4	5	24	1.0635845768228546e-4	24
1000	0.1	5e-4	5	25	6.0949204759483724e-5	25
1000	0.1	5e-4	5	26	1.2514647534050618e-4	26
1000	0.1	5e-4	5	27	1.0463817901192893e-4	27
1000	0.1	5e-4	5	28	1.0356587671558723e-4	28
1000	0.1	5e-4	5	29	1.294714429500092e-4	29
1000	0.1	5e-4	5	30	2.2928992432736707e-5	30
1000	0.1	5e-4	5	31	1.0121592038978783e-4	31
1000	0.1	5e-4	5	32	6.797341851071744e-5	32
1000	0.1	5e-4	5	33	4.148617138555316e-5	33
1000	0.1	5e-4	5	34	-8.157952275764372e-6	34
1000	0.1	5e-4	5	35	9.002675773214978e-5	35
1000	0.1	5e-4	5	36	8.609415960015153e-5	36
1000	0.1	5e-4	5	37	4.096552285679075e-5	37
1000	0.1	5e-4	5	38	6.217377928673019e-5	38
1000	0.1	5e-4	5	39	7.903328409294344e-5	39
1000	0.1	5e-4	5	40	1.1585244547856186e-4	40
1000	0.1	5e-4	5	41	-6.499041851184933e-6	41
1000	0.1	5e-4	5	42	6.536097706851992e-5	42
1000	0.1	5e-4	5	43	9.404187729625103e-5	43
1000	0.1	5e-4	5	44	9.933434572282205e-6	44
1000	0.1	5e-4	5	45	7.39814619195979e-5	45
1000	0.1	5e-4	5	46	7.036660216920932e-5	46
1000	0.1	5e-4	5	47	2.4555631274224058e-5	47
1000	0.1	5e-4	5	48	5.132856455832082e-5	48
1000	0.1	5e-4	5	49	9.239021111265468e-5	49
1000	0.1	5e-4	5	50	5.3028326068632227e-5	50
1000	0.1	5e-4	5	51	6.1202095751018e-5	51
1000	0.1	5e-4	5	52	3.1845550612860554e-5	52
1000	0.1	5e-4	5	53	1.5608761176401125e-5	53
1000	0.1	5e-4	5	54	-8.811895754007992e-6	54
1000	0.1	5e-4	5	55	1.3442586803407975e-5	55
1000	0.1	5e-4	5	56	8.012824517371522e-5	56
1000	0.1	5e-4	5	57	-6.546452217330092e-5	57
1000	0.1	5e-4	5	58	-4.251889763538842e-5	58
1000	0.1	5e-4	5	59	-6.228470739787986e-5	59
1000	0.1	5e-4	5	60	8.596851937728261e-6	60
1000	0.1	5e-4	5	61	5.2129550814692084e-5	61
1000	0.1	5e-4	5	62	-1.989313326794216e-6	62
1000	0.1	5e-4	5	63	-4.8167095441148015e-5	63
1000	0.1	5e-4	5	64	5.482983314904377e-5	64
1000	0.1	5e-4	5	65	1.6786328723192104e-5	65
1000	0.1	5e-4	5	66	7.060354029889464e-5	66
1000	0.1	5e-4	5	67	8.20752391062813e-5	67
1000	0.1	5e-4	5	68	2.699139328013402e-5	68
1000	0.1	5e-4	5	69	1.4496030900158563e-4	69
1000	0.1	5e-4	5	70	7.6033566238313304e-6	70
1000	0.1	5e-4	5	71	-3.0163435312281507e-5	71
1000	0.1	5e-4	5	72	-9.466350111161994e-7	72
1000	0.1	5e-4	5	73	1.3503036355442571e-5	73
1000	0.1	5e-4	5	74	1.4877511551656728e-7	74
1000	0.1	5e-4	5	75	-1.766256018143726e-5	75
1000	0.1	5e-4	5	76	-6.708933723148881e-5	76
1000	0.1	5e-4	5	77	6.700509655158739e-5	77
1000	0.1	5e-4	5	78	2.2944678798572074e-6	78
1000	0.1	5e-4	5	79	1.9727338488018657e-5	79
1000	0.1	5e-4	5	80	1.0446329184976693e-4	80
1000	0.1	5e-4	5	81	1.9340623989883613e-5	81
1000	0.1	5e-4	5	82	-5.370363344283578e-6	82
1000	0.1	5e-4	5	83	2.1517157204465538e-5	83
1000	0.1	5e-4	5	84	7.303447750390495e-5	84
1000	0.1	5e-4	5	85	3.7909982421947124e-5	85
1000	0.1	5e-4	5	86	8.261190414595954e-5	86
1000	0.1	5e-4	5	87	9.575261764376786e-5	87
1000	0.1	5e-4	5	88	-5.301733852469278e-5	88
1000	0.1	5e-4	5	89	5.900990345153975e-5	89
1000	0.1	5e-4	5	90	-2.1337356843582995e-5	90
1000	0.1	5e-4	5	91	-1.4020546656576611e-5	91
1000	0.1	5e-4	5	92	2.3651434281308724e-5	92
1000	0.1	5e-4	5	93	-2.3152926828962313e-5	93
1000	0.1	5e-4	5	94	7.598676249248922e-5	94
1000	0.1	5e-4	5	95	-3.387785247864707e-5	95
1000	0.1	5e-4	5	96	-5.138380315282018e-5	96
1000	0.1	5e-4	5	97	-7.045940149657875e-5	97
1000	0.1	5e-4	5	98	5.001304548704512e-5	98
